regime,seed,method,n_rows_common,auroc,auprc,prec_at_k,shd,n_true_edges,n_rows_scored
linear_gaussian,2025,SNI-D,11,0.7949685534591195,0.4680831873997645,0.4666666666666667,16,15,11
linear_gaussian,2025,MissForest-importance,11,0.8327044025157232,0.5035618507047078,0.4666666666666667,16,15,11
linear_gaussian,2025,SHAP-on-MissForest,11,0.8672955974842768,0.5595045487130116,0.4666666666666667,16,15,11
linear_gaussian,2025,Permutation-on-MissForest,11,0.8371069182389937,0.5544487349595709,0.5333333333333333,14,15,11
linear_gaussian,2025,P-alone,11,0.8062893081761007,0.42858199459433555,0.4,18,15,11
linear_gaussian,2025,SNI-D-fairhost,11,0.7949685534591195,0.4680831873997645,0.4666666666666667,16,15,11
linear_gaussian,2025,Permutation-on-SNI-fair-oracle,11,0.9,0.6535708822896902,0.5333333333333333,14,15,11
linear_gaussian,2025,Permutation-on-SNI-fair-noOracle,11,0.8918238993710692,0.629268275933613,0.6,12,15,11
linear_gaussian,2026,SNI-D,11,0.7951070336391437,0.3393267513222144,0.3333333333333333,16,12,11
linear_gaussian,2026,MissForest-importance,11,0.9029051987767583,0.5018710091078512,0.4166666666666667,14,12,11
linear_gaussian,2026,SHAP-on-MissForest,11,0.9174311926605505,0.5400696033562167,0.5833333333333334,10,12,11
linear_gaussian,2026,Permutation-on-MissForest,11,0.9434250764525993,0.6406515552348886,0.5833333333333334,10,12,11
linear_gaussian,2026,P-alone,11,0.8723241590214066,0.39669449770235776,0.4166666666666667,14,12,11
linear_gaussian,2026,SNI-D-fairhost,11,0.7951070336391437,0.3393267513222144,0.3333333333333333,16,12,11
linear_gaussian,2026,Permutation-on-SNI-fair-oracle,11,0.9365443425076452,0.795800980680013,0.75,6,12,11
linear_gaussian,2026,Permutation-on-SNI-fair-noOracle,11,0.9350152905198776,0.7378556764586176,0.75,6,12,11
linear_gaussian,2027,SNI-D,11,0.586687306501548,0.20461318613611176,0.21052631578947367,30,19,11
linear_gaussian,2027,MissForest-importance,11,0.7667698658410733,0.4537423869761254,0.42105263157894735,22,19,11
linear_gaussian,2027,SHAP-on-MissForest,11,0.8111455108359132,0.48360855661696145,0.3684210526315789,24,19,11
linear_gaussian,2027,Permutation-on-MissForest,11,0.8353973168214655,0.5166485271756028,0.42105263157894735,22,19,11
linear_gaussian,2027,P-alone,11,0.7141382868937047,0.3084677027489915,0.3157894736842105,26,19,11
linear_gaussian,2027,SNI-D-fairhost,11,0.586687306501548,0.20461318613611176,0.21052631578947367,30,19,11
linear_gaussian,2027,Permutation-on-SNI-fair-oracle,11,0.8766769865841073,0.59657294783045,0.47368421052631576,20,19,11
linear_gaussian,2027,Permutation-on-SNI-fair-noOracle,11,0.8771929824561403,0.5843641738547898,0.5263157894736842,18,19,11
linear_gaussian,2028,SNI-D,11,0.7430340557275541,0.37615607361147957,0.3684210526315789,24,19,11
linear_gaussian,2028,MissForest-importance,11,0.7641898864809081,0.41032611852534595,0.42105263157894735,22,19,11
linear_gaussian,2028,SHAP-on-MissForest,11,0.7579979360165119,0.48281119994928384,0.42105263157894735,22,19,11
linear_gaussian,2028,Permutation-on-MissForest,11,0.7925696594427244,0.5395552206264604,0.5263157894736842,18,19,11
linear_gaussian,2028,P-alone,11,0.76109391124871,0.34466230020557537,0.42105263157894735,22,19,11
linear_gaussian,2028,SNI-D-fairhost,11,0.7430340557275541,0.37615607361147957,0.3684210526315789,24,19,11
linear_gaussian,2028,Permutation-on-SNI-fair-oracle,11,0.8761609907120743,0.6682711650378574,0.5789473684210527,16,19,11
linear_gaussian,2028,Permutation-on-SNI-fair-noOracle,11,0.8601651186790505,0.6688270071160276,0.5789473684210527,16,19,11
linear_gaussian,2029,SNI-D,11,0.7160633484162896,0.42685613802527334,0.47058823529411764,18,17,11
linear_gaussian,2029,MissForest-importance,11,0.7782805429864253,0.505361837315414,0.5294117647058824,16,17,11
